URL,Image Link,Title,Author,Date,Location,Description
https://www.ndtv.com/india-news/russia-ukraine-war-over-600-indians-return-home-from-ukraine-in-3-air-force-aircraft-today-2804799,https://c.ndtvimg.com/2022-03/ooofcvbo_iaf-evacuationoperation-gangaukraine-warmarch-5_120x90_05_March_22.jpg,Over 600 Indians Return Home From Ukraine In 3 Air Force Aircraft Today,Arun Nair," Saturday March 05, 2022", New Delhi,Three Air Force aircraft carrying 629 Indians from Ukraine's neighbouring countries landed at the Hindon air base near Delhi early this morning.
https://www.ndtv.com/india-news/manipur-assembly-elections-2022-manipur-assembly-polls-live-updates-2nd-phase-2804754,https://c.ndtvimg.com/2022-03/vo6aaqag_manipur-election-ani_120x90_03_March_22.jpg,Manipur Assembly Polls LIVE Updates: Voting For Last Phase Begins Across 10 Districts,NDTV News Desk," Saturday March 05, 2022", New Delhi,Manipur will pick between 92 candidates in 22 constituencies across 10 districts in the second and last phase of assembly elections today.
https://www.ndtv.com/india-news/manipurs-outer-districts-vote-in-phase-2-of-elections-today-2804746,https://c.ndtvimg.com/2022-03/vo6aaqag_manipur-election-ani_120x90_03_March_22.jpg,Manipur's Outer Districts Vote In Phase 2 Of Elections Today,NDTV News Desk," Saturday March 05, 2022",,Manipur will pick between 92 candidates in 22 constituencies across 10 districts in the second and last phase of assembly elections today.
https://www.ndtv.com/india-news/coronavirus-india-live-updates-coronavirus-cases-today-covid-19-cases-in-india-omicron-covid-cases-india-covid-cases-5-march-2022-2804734,https://c.ndtvimg.com/2020-11/n10na8g4_covid-testing-pti_240x180_23_November_20.jpg,"Coronavirus LIVE Updates: India Records Over 6,000 Fresh COVID-19 Cases",NDTV News Desk," Saturday March 05, 2022", New Delhi,"India on Friday reported at least 6,396 new COVID-19 cases while active infections declined to 77,152."
https://www.ndtv.com/india-news/holding-talks-with-parties-doesnt-mean-forging-anti-bjp-front-telangana-chief-minister-k-chandrasekhar-rao-2804683,https://c.ndtvimg.com/2022-03/4p40hrlk_kcr-with-jharkhand-cm-hemant-soren_120x90_05_March_22.jpg,"""Holding Talks With Like-Minded Parties Doesn't Mean..."": Telangana's KCR",Press Trust of India," Saturday March 05, 2022", Ranchi,"Telangana CM K Chandrasekhar Rao said that he is holding talks with like-minded parties to give ""a new direction"" to nation, but it would be wrong to say now that attempts are being made by regional political outfits to forge an anti-BJP front."
https://www.ndtv.com/india-news/ukraine-russia-crisis-india-at-un-cautions-against-attacks-on-nuclear-facilities-in-ukraine-2804598,https://c.ndtvimg.com/2022-02/td87m1ug_un-general-assemblyafp_120x90_28_February_22.jpg,India At UN Cautions Against Attacks On Nuclear Facilities In Ukraine,Press Trust of India," Friday March 04, 2022", United Nations,India on Friday cautioned that any accident involving nuclear facilities may have severe consequences for public health and the environment.
https://www.ndtv.com/india-news/bone-and-joint-hospital-fire-massive-fire-destroys-specialised-hospital-in-srinagar-patients-rescued-2804562,https://c.ndtvimg.com/2022-03/f0g3f6s8_srinagar-hospital-fire-240_120x90_04_March_22.jpg,"Massive Fire Destroys Specialised Hospital In Srinagar, Patients Rescued",Nazir Masoodi," Friday March 04, 2022", Srinagar,A massive fire completely destroyed Kashmir's biggest orthopaedic hospital on Friday evening.
https://www.ndtv.com/india-news/india-seeks-ceasefire-to-evacuate-its-citizens-from-conflict-zones-in-ukraine-2804546,https://c.ndtvimg.com/2022-03/d08477h8_indians-in-ukraine_240x180_01_March_22.jpg,"India Urges Russia And Ukraine For Ceasefire, Seeks To Evacuate Citizens",Press Trust of India," Friday March 04, 2022", New Delhi,India on Friday sought ceasefire by Russian and Ukrainian troops for evacuation of its citizens from the conflict zones of Kharkiv and Sumy in Ukraine
https://www.ndtv.com/india-news/thunderstorm-with-light-to-moderate-rain-likely-in-tamil-nadu-puducherry-2804496,https://c.ndtvimg.com/2020-03/n2vk1tpg_heavy-rain-generic_120x90_07_March_20.jpg,"Thunderstorm With Light To Moderate Rain Likely In Tamil Nadu, Puducherry",Asian News International," Friday March 04, 2022", Chennai,"Thunderstorm with light to moderate rain is likely to occur at one or two places in several districts of Tamil Nadu and one town of Puducherry within the next three hours, Regional Meteorological Centre (RMC) of Chennai predicted on Friday."
https://www.ndtv.com/india-news/pm-modis-tea-break-damru-session-at-mega-varanasi-roadshow-2804489,https://c.ndtvimg.com/2022-03/mr9qgspo_pm-modi-tea-varanasi-ndtv_120x90_04_March_22.jpg,"Watch: PM Modi's Tea Break, 'Damru' Session At Mega Varanasi Roadshow",NDTV News Desk," Friday March 04, 2022", Varanasi,"Prime Minister Narendra Modi stopped for tea as he held a mega roadshow in Varanasi on Friday, drumming up support for BJP candidates ahead of the last phase of the assembly polls in Uttar Pradesh."
https://www.ndtv.com/india-news/singapore-extends-vaccinated-travel-lane-for-all-indian-flights-2804443,https://c.ndtvimg.com/2020-04/2npv1tq8_flight-generic-pixabay-_120x90_29_April_20.jpg,Singapore Allows Quarantine-Free Travel For Fully Vaccinated Indian Passengers,Press Trust of India," Friday March 04, 2022", Mumbai,Singapore on Friday said it has extended the vaccinated travel lane for flights from all Indian cities.
https://www.ndtv.com/india-news/mumbai-court-denies-bail-to-accused-shweta-singh-in-bulli-bai-app-case-2804353,https://i.ndtvimg.com/i/2017-12/justice-generic-court-generic_240x180_51513069920.jpg,Mumbai Court Denies Bail To Accused In Bulli Bai App Case,Press Trust of India," Friday March 04, 2022", Mumbai,A sessions court in Mumbai on Friday denied bail to accused Shweta Singh in the Bulli Bai app case.
https://www.ndtv.com/india-news/health-ministry-national-medical-commission-explore-ways-to-let-medical-students-from-ukraine-finish-courses-2804287,https://c.ndtvimg.com/2022-03/mj5oorso_indian-students-in-ukraine-afp-240_120x90_01_March_22.jpg,Centre Explores Ways To Let Medical Students From Ukraine Finish Courses,Press Trust of India," Friday March 04, 2022", New Delhi,"Health Ministry and National Medical Commission are exploring possibility of relaxing provisions of NMC Regulations, 2021 or finding alternatives to enable Ukraine-return medical students complete their courses in private colleges in India or abroad."
https://www.ndtv.com/india-news/antilia-bomb-scare-dismissed-cop-kazi-destroyed-evidence-aided-in-offence-says-nia-court-2804255,https://c.ndtvimg.com/2021-02/tgec37q_mukesh-ambani-bomb-scare-ndtv-_120x90_25_February_21.jpg,"Dismissed Cop Destroyed Evidence In Antilia Bomb Scare Case, Says Court",Press Trust of India," Friday March 04, 2022", Mumbai,"A special NIA court while denying bail to dismissed policeman Riyazuddin Kazi, arrested in the Antilia bomb scare case, has held that he had knowledge of the conspiracy hatched for placing explosives near the residence of businessman Mukesh Ambani."
